date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:20	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2007%20Feb%202020%2016:28:47%20GMT	http://allotelecom.ca/robots.txt		(from )
13:59:22	96282/96282	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2016:28:46%20GMT	http://allotelecom.ca/	/home/nextubuntu/websites/allotelecom.ca/allotelecom.ca/index.html	(from )
13:59:24	5842/5842	---MC-	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2016:28:57%20GMT	http://gmpg.org/xfn/11	/home/nextubuntu/websites/allotelecom.ca/gmpg.org/xfn/11.html	(from http://allotelecom.ca/)
13:59:27	54323/54323	---M--	200	added ('OK')	image/png	etag:%22d433-584b246370993%22	http://allotelecom.ca/wp-content/uploads/2019/03/cropped-Allo-Tellecom-8-1.png	/home/nextubuntu/websites/allotelecom.ca/allotelecom.ca/wp-content/uploads/2019/03/cropped-Allo-Tellecom-8-1.png	(from http://allotelecom.ca/)
13:59:34	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2007%20Feb%202020%2016:29:00%20GMT	http://allotelecom.ca/xmlrpc.php	/home/nextubuntu/websites/allotelecom.ca/allotelecom.ca/xmlrpc.php	(from http://allotelecom.ca/)
13:59:36	367774/367774	---M-Z	200	added ('OK')	application/x-javascript	etag:%228a4c7f23f359d4a94b6dc2d25b690281%22	http://connect.facebook.net/French%20(Canada)/sdk/xfbml.customerchat.js	/home/nextubuntu/websites/allotelecom.ca/connect.facebook.net/French%20(Canada)/sdk/xfbml.customerchat.js	(from http://allotelecom.ca/)
13:59:38	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Feb%202020%2016:29:11%20GMT	http://fonts.googleapis.com/	/home/nextubuntu/websites/allotelecom.ca/fonts.googleapis.com/index.html	(from http://allotelecom.ca/)
13:59:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Feb%202020%2016:29:13%20GMT	http://s.w.org/	/home/nextubuntu/websites/allotelecom.ca/s.w.org/index.html	(from http://allotelecom.ca/)
13:59:40	114081/114081	---M--	200	added ('OK')	text/css	etag:%221bda1-584b2462f87ad%22	http://allotelecom.ca/wp-content/themes/incubator/style.css?ver=5.0.3	/home/nextubuntu/websites/allotelecom.ca/allotelecom.ca/wp-content/themes/incubator/styleaead.css	(from http://allotelecom.ca/)
13:59:43	25658/25658	---M--	200	added ('OK')	text/css	etag:%22643a-584b2463bcc56%22	http://allotelecom.ca/wp-includes/css/dist/block-library/style.min.css?ver=5.0.3	/home/nextubuntu/websites/allotelecom.ca/allotelecom.ca/wp-includes/css/dist/block-library/style.minaead.css	(from http://allotelecom.ca/)
